kappa,tau_stdp,tau_sr,asymm,frac,R2,skill,area,L2
0.5,0.03,4.0,0.99,0.6,0.36725,-6.95729,0.74998,0.89806
0.01,0.03,5.0,0.99,0.5,0.74029,-3.56499,0.50843,0.50388
0.05,0.03,5.0,0.99,0.6,0.69846,-4.00446,0.5324,0.55253
0.05,0.03,3.0,0.9,0.5,0.89957,-1.50777,0.27639,0.28998
1.0,0.02,5.0,0.99,0.5,0.2914,-8.12244,0.8727,1.00699
0.1,0.02,5.0,0.99,0.7,0.79597,-2.87378,0.38814,0.42764
0.1,0.025,3.0,0.99,0.7,0.64428,-4.12516,0.65327,0.59288
0.5,0.03,3.0,0.95,0.5,0.86202,-1.69997,0.32703,0.31232
0.5,0.03,5.0,0.9,0.6,0.937,-0.82424,0.24401,0.20135
1.0,0.02,4.0,0.9,0.5,0.84471,-2.03563,0.36353,0.34257
1.0,0.02,3.0,0.9,0.7,0.63381,-3.65828,0.53616,0.53863
0.05,0.025,5.0,0.95,0.7,0.91579,-1.0538,0.26671,0.22673
0.5,0.02,5.0,0.95,0.6,0.83614,-2.32823,0.38974,0.36752
1.0,0.03,4.0,0.99,0.7,0.22192,-8.22647,0.9081,1.04121
0.1,0.025,4.0,0.95,0.6,0.94341,-0.71661,0.21311,0.19379
1.0,0.025,3.0,0.95,0.5,0.59445,-4.1335,0.53161,0.59372
0.5,0.03,3.0,0.99,0.7,0.29226,-7.1867,0.79834,0.94682
0.1,0.025,4.0,0.99,0.7,0.69189,-3.75825,0.55288,0.53676
0.05,0.02,3.0,0.99,0.7,0.72766,-3.04444,0.46733,0.46813
0.1,0.03,3.0,0.9,0.6,0.89939,-1.50091,0.2745,0.28924
0.1,0.03,4.0,0.9,0.5,0.8739,-1.73428,0.31807,0.30866
46
0.05,0.03,3.0,0.95,0.6,0.95548,-0.62232,0.21916,0.18768
1.0,0.03,4.0,0.99,0.6,0.25512,-8.0798,0.86488,1.0249
1.0,0.03,5.0,0.9,0.7,0.75415,-3.03383,0.48065,0.44526
0.5,0.025,4.0,0.99,0.5,0.40775,-6.73511,0.76077,0.87322
1.0,0.025,4.0,0.95,0.5,0.64,-4.02393,0.5185,0.5668
0.05,0.02,5.0,0.95,0.6,0.88751,-1.39123,0.30149,0.26395
1.0,0.025,4.0,0.9,0.5,0.87921,-1.62264,0.32852,0.29595
0.01,0.03,3.0,0.95,0.7,0.95141,-0.78312,0.23418,0.20636
0.01,0.02,4.0,0.9,0.5,0.82572,-2.11142,0.38382,0.3511
0.05,0.02,5.0,0.95,0.5,0.89191,-1.44485,0.29983,0.26992
0.01,0.025,3.0,0.9,0.7,0.87805,-1.81506,0.31264,0.32556
0.1,0.025,4.0,0.99,0.5,0.7203,-3.45614,0.51495,0.50286
0.05,0.03,5.0,0.9,0.6,0.84467,-1.90456,0.36324,0.32062
0.05,0.03,3.0,0.95,0.7,0.95801,-0.66362,0.22146,0.19241
